Wall time,Step,Value
1714322750.7585137,3,0.06800000369548798
1714322824.189187,6,0.06589999794960022
1714322897.5510752,9,0.06159999966621399
1714322970.585877,12,0.05570000037550926
1714323043.3137202,15,0.050700001418590546
1714323116.6553812,18,0.0421999990940094
1714323190.0153406,21,0.03720000013709068
1714323263.9521835,24,0.02930000051856041
1714323337.148557,27,0.026100000366568565
1714323410.188415,30,0.021900000050663948
1714323483.3365638,33,0.019300000742077827
1714323555.9568129,36,0.01600000075995922
1714323628.185022,39,0.0142000000923872
1714323699.8648782,42,0.012400000356137753
1714323772.429741,45,0.009999999776482582
1714323843.8871117,48,0.008200000040233135
1714323915.3378124,51,0.008100000210106373
1714323987.0826845,54,0.006899999920278788
1714324059.3132598,57,0.005200000014156103
1714324131.069886,60,0.0044999998062849045
1714324203.688503,63,0.0038999998942017555
1714324275.5038822,66,0.0038999998942017555
1714324347.0863438,69,0.003000000026077032
1714324418.8095336,72,0.003100000089034438
1714324491.8150482,75,0.0034000000450760126
1714324564.0865035,78,0.00279999990016222
1714324636.531596,81,0.0027000000700354576
1714324708.1911194,84,0.002400000113993883
1714324779.8722339,87,0.0024999999441206455
1714324853.6164806,90,0.002099999925121665
1714324927.4067981,93,0.0019000000320374966
1714325001.0412512,96,0.0017999999690800905
1714325074.8854296,99,0.0024999999441206455
1714325149.7114878,102,0.0017000000225380063
1714325224.4450266,105,0.0017000000225380063
1714325298.7085977,108,0.0015999999595806003
1714325372.5928788,111,0.0017000000225380063
1714325445.9647715,114,0.0015999999595806003
1714325518.4504986,117,0.0020000000949949026
1714325590.9915955,120,0.0017000000225380063
1714325664.113181,123,0.00139999995008111
1714325737.251187,126,0.0015999999595806003
1714325809.8160915,129,0.0012000000569969416
1714325882.9738138,132,0.0013000000035390258
1714325956.196357,135,0.0010000000474974513
1714326028.6442354,138,0.0017000000225380063
1714326102.1846876,141,0.0010999999940395355
1714326175.255714,144,0.0013000000035390258
1714326247.8035326,147,0.0012000000569969416
1714326320.5173624,150,0.0010000000474974513
1714326394.103264,153,0.002199999988079071
1714326467.05833,156,0.0008999999845400453
1714326540.5031595,159,0.0012000000569969416
1714326613.065204,162,0.0010999999940395355
1714326685.9742792,165,0.0013000000035390258
1714326758.5138307,168,0.0010000000474974513
1714326830.811496,171,0.0017999999690800905
1714326903.7494648,174,0.0010000000474974513
1714326976.7937434,177,0.000699999975040555
1714327049.76014,180,0.0008999999845400453
1714327122.5078185,183,0.000699999975040555
1714327195.8890681,186,0.0010000000474974513
1714327269.809741,189,0.0010999999940395355
1714327343.7693965,192,0.000699999975040555
1714327417.2116418,195,0.0008999999845400453
1714327490.0632079,198,0.000699999975040555
1714327563.0861285,201,0.0006000000284984708
1714327636.6006193,204,0.000699999975040555
1714327710.1345096,207,0.0005000000237487257
1714327782.788862,210,0.000699999975040555
1714327855.4089646,213,0.0008999999845400453
1714327928.550364,216,0.0005000000237487257
1714328001.9115932,219,0.0006000000284984708
1714328075.767432,222,0.0010999999940395355
1714328149.395362,225,0.00039999998989515007
1714328222.978209,228,0.0005000000237487257
1714328295.6264617,231,0.00039999998989515007
1714328368.6002574,234,0.0005000000237487257
1714328441.4721856,237,0.0005000000237487257
1714328514.708004,240,0.00039999998989515007
1714328587.5822046,243,0.00039999998989515007
1714328661.259597,246,0.000699999975040555
1714328734.3843496,249,0.0003000000142492354
1714328807.455722,252,0.0010000000474974513
1714328880.245139,255,0.00039999998989515007
1714328953.9550724,258,0.00039999998989515007
1714329026.8430338,261,0.0005000000237487257
1714329099.732475,264,0.00039999998989515007
1714329172.8994207,267,0.00039999998989515007
1714329246.0444884,270,0.0007999999797903001
1714329318.9811974,273,0.0003000000142492354
1714329391.823247,276,0.0006000000284984708
1714329464.671577,279,0.0003000000142492354
1714329538.1662118,282,0.00039999998989515007
1714329610.2313564,285,0.00039999998989515007
1714329682.0744677,288,0.0003000000142492354
1714329755.5997317,291,0.0003000000142492354
1714329829.2090151,294,0.00039999998989515007
1714329902.9030595,297,0.00039999998989515007
1714329975.9205718,300,0.0003000000142492354
1714330048.3242767,303,0.00039999998989515007
1714330120.3688107,306,0.00039999998989515007
1714330192.9149466,309,0.0003000000142492354
1714330265.6954355,312,0.000699999975040555
1714330339.3887784,315,0.00019999999494757503
1714330412.7842896,318,0.0007999999797903001
1714330486.4071813,321,0.00019999999494757503
1714330559.3854,324,0.0005000000237487257
1714330631.351432,327,0.00039999998989515007
1714330703.475061,330,0.0003000000142492354
1714330775.510509,333,0.000699999975040555
1714330847.5407808,336,0.00039999998989515007
1714330919.8450768,339,0.0003000000142492354
1714330992.2881842,342,0.0003000000142492354
1714331064.8632298,345,0.0003000000142492354
1714331137.4205134,348,0.00019999999494757503
1714331210.597073,351,0.00019999999494757503
1714331282.9173903,354,0.000699999975040555
1714331356.6313252,357,0.00019999999494757503
1714331429.8302226,360,0.0008999999845400453
1714331502.1932132,363,0.0003000000142492354
